DFS,BFS,AStar,Dijkstra
398,442,363,436
638,770,706,761
627,276,145,272
641,999,1015,999
396,741,742,738
605,638,408,634
777,690,672,683
670,891,581,880
615,786,773,785
176,127,66,118
686,999,987,999
835,917,877,909
716,999,1025,999
523,502,478,501
456,873,753,867
164,891,598,888
409,967,931,958
998,28,15,25
647,231,117,226
343,838,636,831
508,734,687,731
398,488,461,482
937,851,610,847
508,674,644,667
808,999,1016,999
459,615,386,597
210,515,338,504
874,466,411,462
956,222,201,217
734,505,477,493
884,582,389,578
428,836,621,832
897,269,151,261
961,900,599,899
662,521,468,516
980,568,462,563
824,946,900,942
45,65,35,62
29,68,17,61
1000,10,10,9
223,823,539,819
170,667,438,661
417,849,744,842
843,964,859,964
876,636,429,631
950,535,483,531
933,375,262,372
641,999,1022,999
454,707,593,699
902,624,447,621
319,442,393,435
726,883,843,880
836,97,52,90
574,999,1026,999
203,634,601,628
606,859,787,857
677,812,507,804
664,794,518,783
658,948,912,941
764,746,741,744
737,608,498,604
331,664,512,658
930,199,178,197
605,795,763,786
64,127,42,116
324,334,199,327
564,258,103,253
647,448,235,434
766,715,706,713
916,603,594,600
425,352,235,346
971,372,178,359
676,429,332,423
657,627,436,623
716,772,494,764
801,988,766,986
669,998,998,998
134,506,346,502
821,523,470,520
847,999,861,999
589,885,886,880
805,999,982,999
514,985,942,981
917,692,492,689
396,486,470,486
45,164,106,157
225,860,498,852
774,943,908,935
966,257,76,238
551,823,725,817
481,858,838,855
683,231,106,222
493,999,801,999
878,999,1022,999
49,277,203,269
865,999,1018,999
433,599,383,596
669,999,1009,999
553,628,608,620
884,306,166,302
