DFS,BFS,AStar,Dijkstra
794,2055,1505,2048
1322,2002,915,1960
1421,407,159,384
1841,2182,1362,2165
263,1986,1365,1966
1250,2450,2343,2447
2394,560,248,548
1808,1970,1298,1925
1746,2404,1732,2388
1964,2144,825,2097
1023,1317,786,1299
2299,1138,725,1131
2049,1944,1491,1932
696,2480,2323,2479
958,1240,524,1214
1244,1628,1098,1606
28,161,56,149
1041,2463,2333,2461
1865,505,297,490
784,1826,913,1815
852,1943,1413,1916
1598,2397,1990,2391
2223,1098,522,1076
2065,160,83,155
674,1178,518,1160
616,1827,1137,1809
1653,1959,1687,1952
2420,345,133,326
1219,2373,1681,2364
2010,1890,1019,1869
422,972,599,950
1580,1804,1129,1781
1596,2492,2143,2487
1993,1631,904,1615
1662,1931,1242,1908
720,629,221,595
2478,1026,480,999
1488,1844,1035,1822
1682,2051,1215,2018
2484,1818,1057,1792
296,1712,1299,1696
1856,289,189,282
2461,2275,1400,2265
66,701,186,677
2461,2189,740,2151
2132,162,76,146
1628,1728,648,1703
143,491,286,470
1052,2444,2247,2440
2493,48,16,42
1948,1874,838,1843
2419,2222,1842,2213
2266,564,309,558
2483,173,91,158
1700,1670,936,1648
1294,1800,1058,1783
1573,124,41,119
2257,2133,1362,2106
2359,639,435,635
2173,564,319,544
1727,2078,1799,2056
1451,2499,2388,2499
1849,2499,2511,2499
1051,2143,1440,2105
749,278,226,275
2362,2166,1551,2157
1581,1543,644,1516
483,2268,1751,2263
1600,170,83,159
1250,1510,879,1484
2458,1656,761,1619
2143,2211,1734,2186
2350,1508,1088,1481
1785,1602,900,1555
2439,103,68,95
2490,783,316,723
1641,311,177,292
1312,2459,2344,2458
630,1453,906,1433
1468,518,142,490
653,638,237,624
93,565,214,544
1730,2430,1817,2421
1298,624,396,616
2261,1501,691,1486
2310,2499,2084,2499
912,1063,582,1036
2500,61,25,59
2077,2192,1683,2187
2297,827,282,804
678,1370,974,1353
353,2494,2467,2492
1260,2207,1562,2189
774,2353,1978,2344
1116,2127,1316,2109
2144,1611,746,1578
2368,1904,1356,1887
536,1298,573,1277
2323,1331,639,1321
1642,108,58,103
