DFS,BFS,AStar,Dijkstra
125,99,99,99
632,118,118,118
563,127,127,127
642,62,62,62
490,42,42,42
416,36,36,36
169,167,167,167
391,147,147,147
728,172,172,172
663,89,89,89
489,73,73,73
506,158,158,158
502,122,122,122
380,156,156,156
373,119,119,119
144,128,128,128
572,118,118,118
422,98,98,98
272,110,110,110
164,48,48,48
106,76,76,76
26,24,24,24
515,69,69,69
594,12,12,12
846,122,122,122
534,72,72,72
237,121,121,121
799,93,93,93
290,148,148,148
126,64,64,64
767,51,51,51
88,42,42,42
435,129,129,129
582,118,118,118
309,99,99,99
278,78,78,78
285,125,125,125
245,193,193,193
296,222,222,222
303,59,59,59
451,207,207,207
33,33,33,33
254,146,146,146
450,120,120,120
481,185,185,185
254,192,192,192
193,37,37,37
657,69,69,69
299,75,75,75
519,57,57,57
373,43,43,43
793,101,101,101
157,121,121,121
470,136,136,136
579,103,103,103
415,117,117,117
39,39,39,39
617,137,137,137
498,28,28,28
442,70,70,70
17,17,17,17
312,208,208,208
321,131,131,131
641,135,135,135
327,107,107,107
607,71,71,71
275,69,69,69
276,138,138,138
388,164,164,164
885,59,59,59
135,131,131,131
379,135,135,135
587,85,85,85
838,120,120,120
318,162,162,162
312,88,88,88
567,135,135,135
337,73,73,73
231,121,121,121
411,151,151,151
232,110,110,110
595,133,133,133
435,109,109,109
9,9,9,9
503,161,161,161
507,135,135,135
256,140,140,140
211,105,105,105
334,168,168,168
550,150,150,150
505,83,83,83
608,164,164,164
268,140,140,140
166,86,86,86
282,194,194,194
72,12,12,12
104,80,80,80
199,143,143,143
448,190,190,190
744,110,110,110
