DFS,BFS,AStar,Dijkstra
192,164,164,164
865,91,91,91
76,72,72,72
320,82,82,82
169,53,53,53
357,107,107,107
462,62,62,62
9,9,9,9
115,17,17,17
449,139,139,139
443,81,81,81
531,231,231,231
351,121,121,121
566,176,176,176
465,117,117,117
282,218,218,218
545,21,21,21
648,240,240,240
588,24,24,24
646,82,82,82
654,152,152,152
195,127,127,127
225,125,125,125
300,88,88,88
535,85,85,85
707,125,125,125
198,140,140,140
241,109,109,109
68,52,52,52
75,75,75,75
396,84,84,84
166,88,88,88
351,245,245,245
176,96,96,96
154,154,154,154
574,118,118,118
718,90,90,90
852,172,172,172
224,128,128,128
751,175,175,175
75,71,71,71
624,158,158,158
705,119,119,119
179,107,107,107
395,93,93,93
218,154,154,154
511,83,83,83
703,129,129,129
598,122,122,122
249,105,105,105
458,138,138,138
355,99,99,99
325,127,127,127
555,135,135,135
491,57,57,57
314,78,78,78
161,91,91,91
9,9,9,9
260,88,88,88
159,93,93,93
34,20,20,20
685,109,109,109
718,48,48,48
931,49,49,49
725,201,201,201
488,92,92,92
650,140,140,140
904,106,106,106
75,51,51,51
561,89,89,89
663,57,57,57
707,183,183,183
152,124,124,124
492,108,108,108
532,242,242,242
251,105,105,105
552,96,96,96
46,46,46,46
14,14,14,14
259,133,133,133
297,227,227,227
256,44,44,44
544,156,156,156
816,120,120,120
372,216,216,216
252,128,128,128
573,173,173,173
438,80,80,80
36,36,36,36
156,18,18,18
551,153,153,153
603,111,111,111
574,300,300,300
410,164,164,164
214,144,144,144
748,258,258,258
683,31,31,31
489,129,129,129
70,52,52,52
542,114,114,114
